Response Date,Interaction date,SHOP_Shop Name + Aramis code,SHOP_Vendor,Satisfaction score (score on scale from 1 to 5),Verbatim,Respondent ID,SHOP_Shop AudienceName,SHOP_City,SHOP_Customer Type,SHOP_Channel,SHOP_Direction,SHOP_Mainchain,SHOP_Case type,SHOP_Case level 1,SHOP_Case level 2,SHOP_Case level 3,SHOP_Source file
01/11/2025,25/08/2025,ORANGE SHOP BASILIX SHOPPING CENTER - MOBIS519,21512,5,personnel aimable et extrêmement gentil,226.252.072,SUBSCRIPTION,B- 1082,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,N/A,N/A,N/A,N/A,Activation
01/11/2025,10/09/2025,ORANGE SHOP WATERLOO - MOBIS344,18492,4,,226.396.871,SUBSCRIPTION,B- 1410,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,New Activation,N/A,N/A,N/A,Activation
01/11/2025,23/10/2025,ORANGE SHOP ANDERLECHT CORA - MOBIS518,21295,1,,226.755.113,SUBSCRIPTION,B- 1070,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,New Activation,N/A,N/A,N/A,Activation
01/11/2025,24/10/2025,ORANGE SHOP UCCLE BASCULE - MOBIS301,9911,5,trs serviable,226.770.804,SUBSCRIPTION,B- 1180,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,New Activation,N/A,N/A,N/A,Activation
01/11/2025,25/10/2025,ORANGE SHOP LOUVAIN-LA-NEUVE SHOPPING CENTER - MOBIS271,17058,4,,226.772.662,SUBSCRIPTION,B- 1348,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,Takeover,N/A,N/A,N/A,Activation
01/11/2025,28/10/2025,ORANGE SHOP BRASSCHAAT - MOBIS506,17980,5,ik ben heel tevreden van de service en de bereidwilligheid om me verder te helpen door uw desk medewerker olivier,226.784.385,SUBSCRIPTION,B- 2930,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase
01/11/2025,27/10/2025,ORANGE SHOP CHATELINEAU CORA - MOBIS480,17074,5,,226.784.503,SUBSCRIPTION,B- 6200,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,TV (sales _ aftercare),Remote Control,Purchase
01/11/2025,27/10/2025,ORANGE SHOP LIEGE BELLE ILE SHOPPING CENTER - MOBIS525,19433,5,,226.784.937,SUBSCRIPTION,B- 4020,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase
01/11/2025,27/10/2025,ORANGE SHOP HORNU CORA - MOBIS484,19409,5,,226.784.948,SUBSCRIPTION,B- 7301,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,ACCESSORY,ACCESSORY,Charger,Desktop charger,Purchase
01/11/2025,27/10/2025,ORANGE SHOP HASSELT - MOBIS295,14787,4,,226.788.464,SUBSCRIPTION,B- 3500,SUBSCRIBERS,OSO,Orange shops,MOBISTAR OWNED SHOPS,New Activation,N/A,N/A,N/A,Activation
