survey_id,shop_id,mobis_code,interaction_date,response_date,rating,verbatim,vendor_id,audience_type,customer_type,channel,case_type,case_level_1,case_level_2,case_level_3,source_system,is_mappable
226.252.072,,MOBIS519,2025-08-25,2025-11-01,5,personnel aimable et extrêmement gentil,21512,SUBSCRIPTION,SUBSCRIBERS,OSO,,,,,Activation,False
226.396.871,668c00351611d65fe10097a0,MOBIS344,2025-09-10,2025-11-01,4,,18492,SUBSCRIPTION,SUBSCRIBERS,OSO,New Activation,,,,Activation,True
226.755.113,,MOBIS518,2025-10-23,2025-11-01,1,,21295,SUBSCRIPTION,SUBSCRIBERS,OSO,New Activation,,,,Activation,False
226.770.804,668c002f3a1fd9b4ae00976f,MOBIS301,2025-10-24,2025-11-01,5,trs serviable,9911,SUBSCRIPTION,SUBSCRIBERS,OSO,New Activation,,,,Activation,True
226.772.662,6765461c5e2a75c344058337,MOBIS271,2025-10-25,2025-11-01,4,,17058,SUBSCRIPTION,SUBSCRIBERS,OSO,Takeover,,,,Activation,True
226.784.385,668c0035236a166eee0097a4,MOBIS506,2025-10-28,2025-11-01,5,ik ben heel tevreden van de service en de bereidwilligheid om me verder te helpen door uw desk medewerker olivier,17980,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Screen Protector,Screen Protector,Purchase,True
226.784.503,668c00343a0e689bf0009798,MOBIS480,2025-10-27,2025-11-01,5,,17074,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,TV (sales _ aftercare),Remote Control,Purchase,True
226.784.937,,MOBIS525,2025-10-27,2025-11-01,5,,19433,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Sox and Cover,Sox and Cover,Purchase,False
226.784.948,668c002f2367e064f500976d,MOBIS484,2025-10-27,2025-11-01,5,,19409,SUBSCRIPTION,SUBSCRIBERS,OSO,ACCESSORY,ACCESSORY,Charger,Desktop charger,Purchase,True
226.788.464,668c002e23641fa926009764,MOBIS295,2025-10-27,2025-11-01,4,,14787,SUBSCRIPTION,SUBSCRIBERS,OSO,New Activation,,,,Activation,True
226.797.426,668c002d160ec4c56a009758,MOBIS467,2025-10-29,2025-11-01,5,good services .,18279,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Samsung,Purchase,True
226.797.604,668c00353a0d1c82760097a6,MOBIS199,2025-10-29,2025-11-01,5,,16488,SUBSCRIPTION,SUBSCRIBERS,OSO,STANDALONE,STANDALONE,Standalone,Apple,Purchase,True
226.798.009,,MOBIS518,2025-10-29,2025-11-01,5,le vendeur a t trs professionnel et disponible,21565,Prospect,,OSO,SIM PREPAID,,,,Activation,False
226.798.060,668c002d3a1f37593d00975c,MOBIS486,2025-10-29,2025-11-01,5,,18341,SUBSCRIPTION,SUBSCRIBERS,OSO,New Activation,,,,Activation,True
226.798.284,6669610334fb243c680a7680,MOBIS499,2025-10-29,2025-11-01,4,,21328,SUBSCRIPTION,SUBSCRIBERS,OSO,Tariff Change,,,,Activation,True
226.798.502,668c00333a1f4b047d009793,MOBIS503,2025-10-29,2025-11-01,5,,18120,SUBSCRIPTION,FIRMS,OSO,SIM Renewal,,,,Activation,True
226.798.765,668c002d3a1f37593d00975c,MOBIS486,2025-10-29,2025-11-01,5,situation un peu complexe qui a t dtricote par le conseiller- vendeur et qui a trouv une solution.,18021,SUBSCRIPTION,SUBSCRIBERS,OSO,SIM Renewal,,,,Activation,True
226.798.779,668c002d161070da68009757,MOBIS482,2025-10-29,2025-11-01,5,,21170,SUBSCRIPTION,SUBSCRIBERS,OSO,New Activation,,,,Activation,True
226.798.786,,MOBIS522,2025-10-29,2025-11-01,4,,17055,SUBSCRIPTION,SUBSCRIBERS,OSO,Tariff Change,,,,Activation,False
226.798.939,668c0032236a92f788009786,MOBIS474,2025-10-29,2025-11-01,5,"un bon accueil une personne sympatique ,il ne faut rien de plus!!!!",19407,SUBSCRIPTION,SUBSCRIBERS,OSO,,,,,Activation,True
226.799.058,,MOBIS516,2025-10-29,2025-11-01,5,,17027,SUBSCRIPTION,SUBSCRIBERS,OSO,SIM Renewal,,,,Activation,False
226.799.469,,MOBIS516,2025-10-29,2025-11-01,5,,20488,SUBSCRIPTION,FIRMS,OSO,New Activation,,,,Activation,False
226.799.610,,,2025-10-28,2025-11-01,5,bon service,17298,SUBSCRIPTION,SUBSCRIBERS,TZ Carrefour,New Activation,,,,Activation,False
226.799.728,,MOBIS529,2025-10-29,2025-11-01,5,car le vendeur tait trs agrable et trs professionnel il a su nous conseiller,20981,SUBSCRIPTION,SUBSCRIBERS,OSO,Tariff Change,,,,Activation,False
