column,dtype,non_null,null_count,null_pct,unique,unique_pct,mode,mode_freq,has_leading_space,has_trailing_space,case_inconsistent,mean,std,min,max,median,outlier_count,outlier_pct
Response Date,object,5268,0,0.0,30,0.57,10/11/2025,9.53,False,False,False,,,,,,,
Interaction date,object,5268,0,0.0,47,0.89,03/11/2025,8.22,False,False,False,,,,,,,
SHOP_Shop Name + Aramis code,object,5268,0,0.0,234,4.44,ORANGE SHOP CHATELINEAU CORA - MOBIS480,2.7,False,False,False,,,,,,,
SHOP_Vendor,object,5268,0,0.0,586,11.12,21170,0.68,False,False,False,,,,,,,
Satisfaction score (score on scale from 1 to 5),int64,5268,0,0.0,5,0.09,,,,,,4.64,0.81,1.0,5.0,5.0,1208.0,22.93
Verbatim,object,1166,4102,77.87,1080,20.5,5,0.72,False,False,False,,,,,,,
Respondent ID,object,5268,0,0.0,5268,100.0,226.252.072,0.02,False,False,False,,,,,,,
SHOP_Shop AudienceName,object,5268,0,0.0,2,0.04,SUBSCRIPTION,95.22,False,False,False,,,,,,,
SHOP_City,object,5268,0,0.0,162,3.08,B- 1000,4.12,False,False,False,,,,,,,
SHOP_Customer Type,object,5016,252,4.78,3,0.06,SUBSCRIBERS,90.09,False,False,False,,,,,,,
SHOP_Channel,object,5268,0,0.0,6,0.11,OSO,86.96,False,False,False,,,,,,,
SHOP_Direction,object,5268,0,0.0,2,0.04,Orange shops,86.96,False,False,False,,,,,,,
SHOP_Mainchain,object,5268,0,0.0,6,0.11,MOBISTAR OWNED SHOPS,86.96,False,False,False,,,,,,,
SHOP_Case type,object,5154,114,2.16,10,0.19,New Activation,25.15,False,False,False,,,,,,,
SHOP_Case level 1,object,1668,3600,68.34,3,0.06,STANDALONE,19.68,False,False,False,,,,,,,
SHOP_Case level 2,object,1668,3600,68.34,11,0.21,Standalone,19.68,False,False,False,,,,,,,
SHOP_Case level 3,object,1668,3600,68.34,20,0.38,Samsung,8.12,False,False,False,,,,,,,
SHOP_Source file,object,5268,0,0.0,2,0.04,Activation,68.34,False,False,False,,,,,,,
